# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Project 2
# Creation date: 11/13/2021 15:46:51
# 
# 11/13/2021 15:46:52
# The parameters defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,25,125,75
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 16:10:04
# 
# 
# 11/13/2021 17:50:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 21,22.5,133,84,1315.9810603478663,11.759269348681707,348.951904296875
DP 22,22.5,151,72,1122.0277795289719,11.445308682256236,350.08102416992188
DP 23,22.5,151,84,1078.8592670121125,12.055853514232624,350.1927490234375
DP 24,25,124,66,1708.8515841947733,17.127067491120673,339.77249145507813
DP 25,25,124,90,1274.2398049738488,13.020207329113298,342.54498291015625
DP 26,25,160,66,1017.7219990644118,18.880280173779184,338.7674560546875
DP 27,25,160,90,986.24191779696525,14.939616606992663,340.31301879882813
DP 1,20.038229987258092,124.00508795352653,66.467347749508917,1583.5947916149876,13.388835184049507,360.47756958007813
DP 2,20.260653045261279,124.21491594100371,89.994352092035115,1209.0839378942187,13.875065141849689,356.89962768554688
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 20:16:35
# 
# 
# 11/13/2021 20:19:43
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C],P7 - Solid Mass [tonne]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7
DP 1,15,124,66,1421.0957150730583,13.993859508828445,412.5040283203125,0.0050453852352945923
DP 2,15,124,90,1162.5286974918354,12.54053083750239,414.11325073242188,0.0043885159105408111
DP 3,15,142,78,1163.4988223467169,16.24359029772727,415.03948974609375,0.0063740527330920227
DP 4,15,160,66,753.74441972323837,20.661404340247362,408.51998901367188,0.0085143067106472122
DP 5,15,160,90,894.54432616700785,14.099634521996201,412.3934326171875,0.00785743738589343
DP 6,17.5,133,72,1360.1327431707223,11.00879314141204,383.5340576171875,0.0063975204302143384
DP 7,17.5,133,84,1269.163985343175,11.179128802896344,383.69168090820313,0.0059632266617820834
DP 8,17.5,142,78,1200.7061824775556,11.34257933363925,384.3560791015625,0.00717025797521782
DP 9,17.5,151,72,1011.5719064544214,10.657658394904876,378.00698852539063,0.0084210579575033657
DP 10,17.5,151,84,1023.9210666891431,12.320811954187917,382.899658203125,0.0079867641890711116
DP 11,20,124,78,1502.660677921921,17.154048498294529,364.657958984375,0.0058004230472877526
DP 12,20,133,78,1376.0995729543088,21.341455239124542,362.4088134765625,0.0068467995956042142
DP 13,20,142,66,1163.8918589599632,17.251701035835332,363.25790405273438,0.008457758042882603
DP 14,20,142,72,1224.7539574163325,20.264439766522,363.6424560546875,0.00822432514235027
DP 15,20,142,78,1234.7285489360502,19.33927961075857,363.54248046875,0.00796646321734362
DP 16,20,142,84,1176.5921711977235,17.409634388134887,364.04483032226563,0.0076841722678626535
DP 17,20,142,90,1117.7039748302097,13.233054227934419,362.44451904296875,0.0073774522939073746
DP 18,20,151,78,1095.4995904062109,20.31926986123651,365.313720703125,0.0091594139125059613
DP 19,20,160,78,970.69285962659046,20.663127719576384,360.71273803710938,0.010425651681091243
DP 20,22.5,133,72,1459.7950454922627,11.290931680156909,349.1676025390625,0.0078118026110073893
DP 21,22.5,133,84,1315.9810603478663,11.759269348681707,348.951904296875,0.0071657906304644125
DP 22,22.5,142,78,1268.7876941705358,11.5212349336431,349.77651977539063,0.0087626684594694117
DP 23,22.5,151,72,1122.0277795289719,11.445308682256236,350.08102416992188,0.010413493717521854
DP 24,22.5,151,84,1078.8592671247245,12.055853514232624,350.1927490234375,0.009767481736978877
DP 25,25,124,66,1708.8515839617705,17.127067491120673,339.77249145507813,0.0075380505103588768
DP 26,25,124,90,1274.2398049738488,13.020207329113298,342.54498291015625,0.0060343083371622031
DP 27,25,142,78,1304.7742631149588,17.262261531460855,340.58746337890625,0.0095588737015952149
DP 28,25,160,66,1017.721998985777,18.880280173779184,338.7674560546875,0.013319586302613245
DP 29,25,160,90,986.24191790056966,14.939616606992663,340.31301879882813,0.011815844129416572
DP 1,20.038229987258092,124.00508795352653,66.467347749508917,1583.5947916051277,13.388835184049507,360.47756958007813,0.0062844606355866766
DP 2,20.260653045261279,124.21491594100371,89.994352092035115,1209.0839378942187,13.875065141849689,356.89962768554688,0.0052790637857448143
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 21:49:22
# 
# 
# 11/13/2021 21:52:05
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C],P7 - Solid Volume [mm^3]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7
DP 1,15,124,66,1421.0957146678072,13.993859508828445,412.5040283203125,700747.94934647111
DP 2,15,124,90,1162.5286974918354,12.54053083750239,414.11325073242188,609516.09868622373
DP 3,15,142,78,1163.4988223467169,16.24359029772727,415.03948974609375,885285.10181833629
DP 4,15,160,66,753.74441972323837,20.661404340247362,408.51998901367188,1182542.5987010014
DP 5,15,160,90,894.54432616700785,14.099634521996201,412.3934326171875,1091310.7480407541
DP 6,17.5,133,72,1360.1327432146113,11.00879314141204,383.5340576171875,888544.5041964358
DP 7,17.5,133,84,1269.163985343175,11.179128802896344,383.69168090820313,828225.92524751148
DP 8,17.5,142,78,1200.7061824775556,11.34257933363925,384.3560791015625,995869.16322469711
